id,length,start_time,trip_time,edge_start,edge_end,turn_I1,turn_I2,turn_I3
2988,4.59,1866.4,39.6,5_1,1_2,,,
2989,4.53,1866.6,11.8,5_1,1_8,s,n,n
2991,4.39,1867.3,15,9_2,2_6,n,s,n
2992,4.52,1868.9,18.3,9_2,2_6,n,s,n
2993,5.49,1869.4,21.9,9_2,2_6,n,s,n
2994,5.21,1869.5,141.7,4_3,2_1,,,
2995,4.57,1869.5,15.3,9_2,2_6,n,s,n
2996,4.42,1869.6,11.4,5_1,1_8,s,n,n
2997,4.88,1871.1,50.1,2_3,3_4,,,
2998,11.29,1872,15.9,10_3,3_7,n,n,s
2999,4.8,1872.1,18,9_2,2_6,n,s,n
3000,5.05,1872.1,49.4,5_1,2_3,,,
3001,5.33,1872.3,49.2,4_3,node3,,,
3002,3.94,1872.9,11.8,5_1,1_8,s,n,n
3004,4.27,1874.9,17.4,9_2,2_6,n,s,n
3005,4.52,1875.2,15.1,10_3,3_7,n,n,s
3006,5.51,1875.7,11.2,5_1,1_8,s,n,n
3007,5.1,1876.5,29.5,5_1,1_2,,,
3008,4.53,1876.8,8.9,5_1,1_8,s,n,n
3010,5.69,1879.3,11.1,5_1,1_8,s,n,n
3011,4.3,1879.5,8.9,5_1,1_8,s,n,n
3012,5.39,1879.6,41.9,4_3,3_2,,,
3014,5.19,1880.1,129.1,10_3,2_6,n,r,l
3015,5.03,1880.5,25.5,5_1,1_2,,,
3016,4.76,1880.6,12.1,9_2,2_6,n,s,n
3017,4.82,1880.6,40.9,9_2,node3,,,
3018,4.93,1881.4,13.8,9_2,2_6,n,s,n
3019,4.63,1881.5,10.9,5_1,1_8,s,n,n
3020,4.84,1881.6,24.4,0_1,node1,,,
3021,4.21,1881.7,8.7,5_1,1_8,s,n,n
3022,4.51,1882.1,12,9_2,2_6,n,s,n
3023,4.88,1882.2,120.5,4_3,2_1,,,
3024,5.2,1882.9,23.1,5_1,1_2,,,
3025,4.66,1883.2,14,9_2,2_6,n,s,n
3026,4.62,1883.5,9,5_1,1_8,s,n,n
3027,5.06,1883.7,43.8,9_2,3_4,n,r,l
3028,4.49,1883.8,10.3,5_1,1_8,s,n,n
3029,4.75,1884,13.6,9_2,2_6,n,s,n
3030,5.05,1885.5,14.9,9_2,2_6,n,s,n
3031,4.63,1885.6,11.6,9_2,2_6,n,s,n
3032,5.05,1885.6,13.5,9_2,2_6,n,s,n
3034,4.47,1885.9,12.2,9_2,2_6,n,s,n
3036,4.62,1888,14.2,9_2,2_6,n,s,n
3037,4.6,1888,15,9_2,2_6,n,s,n
3038,4.74,1888.2,13.1,9_2,2_6,n,s,n
3039,4.76,1888.3,33.2,9_2,node3,,,
3043,4.69,1889.7,14.8,9_2,2_6,n,s,n
3044,4.61,1890,14.2,9_2,2_6,n,s,n
3045,4.81,1890.3,13,9_2,2_6,n,s,n
3048,4.84,1890.9,15,9_2,2_6,n,s,n
3049,4.39,1891.4,76.2,10_3,3_7,n,n,s
3050,4.49,1891.5,54.9,9_2,2_6,n,s,n
3051,5,1891.9,64.5,7_3,3_4,n,n,l
3052,5.1,1892,14,9_2,2_1,,,
3053,4.87,1892.4,55.7,9_2,2_6,n,s,n
3054,5.13,1893.5,55.3,9_2,2_6,n,s,n
3055,5.12,1893.5,28,9_2,2_3,,,
3056,4.81,1893.6,62,7_3,3_10,n,n,s
3058,5.2,1894,55.8,9_2,2_6,n,s,n
3060,4.75,1894.4,55.5,9_2,2_6,n,s,n
3061,5.25,1895.8,119.6,4_3,2_6,n,r,s
3063,4.5,1896.2,57,9_2,2_6,n,s,n
3065,4.96,1896.7,54.7,9_2,2_6,n,s,n
3067,5.12,1899,57.2,9_2,2_6,n,s,n
3068,4.43,1899,54.3,9_2,2_6,n,s,n
3069,5.43,1899.6,51.2,9_2,2_3,,,
3070,5.11,1900.6,57.8,7_3,3_4,n,n,l
3073,4.59,1902.3,54.1,9_2,2_6,n,s,n
3074,5.1,1902.7,55.6,9_2,2_6,n,s,n
3075,4.69,1903.2,55,7_3,3_10,n,n,s
3076,5.03,1904,66.5,10_3,3_7,n,n,s
3078,4.26,1905.3,53.8,9_2,2_6,n,s,n
3079,5.05,1906.3,65.9,10_3,3_7,n,n,s
3080,2.63,1908,13.5,1_2,node2,,,
3081,2.73,1908.3,13.2,1_2,node2,,,
3082,2.85,1910,11.5,1_2,node2,,,
3085,4.08,1921.1,9.8,3_2,2_6,,,
3086,4.79,1921.1,10.3,10_3,3_7,,,
3087,5.03,1921.1,44.6,7_3,3_10,n,n,s
3090,4.64,1921.1,29.3,9_2,2_6,n,s,n
3091,4.67,1921.1,13.7,3_2,2_6,,,
3093,5.28,1921.1,76.4,3_2,2_1,,,
3095,5.19,1921.1,89.8,3_2,2_6,,,
3096,4.58,1921.1,8.7,2_3,3_4,,,
3097,4.19,1921.1,39.8,7_3,3_10,n,n,s
3098,5.05,1921.1,11.3,3_2,2_6,,,
3100,4.79,1921.1,78.7,3_2,2_1,,,
3101,5.42,1921.1,81.2,9_2,3_4,n,r,l
3103,4.95,1921.1,6.7,2_3,3_4,,,
3105,5.2,1921.1,8.2,2_3,3_4,,,
3106,5.12,1921.1,37.8,7_3,3_4,n,n,l
3107,4.2,1921.1,10.5,1_2,2_6,,,
3108,12.91,1921.1,55.1,10_3,3_7,n,n,s
3109,5.08,1923.3,82.9,4_3,2_1,,,
3110,4.84,1924.1,11.2,2_3,3_4,,,
3111,4.98,1926.7,73.6,9_2,3_4,n,r,l
3112,4.29,1927.4,7.7,1_2,2_6,,,
3113,4.51,1930.4,7.5,1_2,2_6,,,
3114,5.08,1933,74.6,4_3,2_1,,,
3115,5.23,1936.2,73.7,4_3,2_1,,,
3116,5.2,1938,82.7,4_3,2_6,n,r,s
3118,6.18,1941.6,16.2,9_2,2_6,n,s,n
3119,5.09,1943,69.3,4_3,2_1,,,
3120,4.55,1943.2,15.6,9_2,2_1,,,
3121,4.71,1944.9,28.4,9_2,2_6,n,s,n
3122,5.13,1947,83.1,4_3,3_10,n,n,l
3123,4.29,1947,28.7,9_2,2_6,n,s,n
3124,5.43,1948,59.6,4_3,3_7,n,n,r
3125,6.11,1948.3,15.8,9_2,2_6,n,s,n
3126,5.09,1948.5,17,9_2,2_6,n,s,n
3127,5,1949,52.6,9_2,3_4,n,r,l
3128,4.45,1950.5,28.8,9_2,2_6,n,s,n
3129,5.46,1951.1,49.4,2_3,3_4,,,
3130,4.12,1951.6,16.7,7_3,3_10,n,n,s
3131,4.4,1951.6,16.4,9_2,2_6,n,s,n
3132,4.54,1951.7,15.4,9_2,2_6,n,s,n
3133,5.25,1951.7,136.6,4_3,2_1,,,
3134,4.95,1951.7,62.4,4_3,2_1,,,
3135,4.11,1954.1,28.2,9_2,2_6,n,s,n
3136,5.12,1954.1,19,9_2,2_6,n,s,n
3137,5.34,1954.3,61.5,4_3,2_1,,,
3138,4.58,1955,13.8,9_2,2_6,n,s,n
3139,4.42,1955,13.1,9_2,2_1,,,
3140,5.16,1955.2,135.5,4_3,2_1,,,
3141,4.5,1955.4,15.1,7_3,3_10,n,n,s
3143,4.59,1957.1,12.5,9_2,2_6,n,s,n
3144,4.98,1957.1,16.2,9_2,2_6,n,s,n
3145,4.68,1959.2,15.4,9_2,2_1,,,
3146,5.08,1959.6,138.6,4_3,2_6,n,r,s
3147,4.77,1960,15.6,9_2,2_6,n,s,n
3148,5.2,1960.5,127.6,4_3,2_1,,,
3149,5.5,1960.9,34.6,7_3,3_4,n,n,l
3150,4.68,1961.1,17.6,10_3,3_7,n,n,s
3151,5.02,1961.8,16.3,9_2,2_6,n,s,n
3152,4.79,1962.6,17.4,9_2,2_6,n,s,n
3153,6.58,1964.4,17.9,9_2,2_6,n,s,n
3154,5.01,1964.9,125.3,4_3,2_1,,,
3155,4.72,1965.2,15.9,10_3,3_7,n,n,s
3156,5,1965.6,15.9,9_2,2_1,,,
3157,4.46,1967.6,16.4,10_3,3_7,n,n,s
3158,4.7,1968.2,17,9_2,2_6,n,s,n
3159,4.71,1968.6,10.8,7_3,10_3,,,
3160,3.09,1970.1,47.7,4_3,3_7,n,n,r
3161,4.87,1971.3,11,7_3,3_10,n,n,s
3162,4.76,1971.3,22.6,10_3,3_4,n,n,r
3163,4.62,1972.9,12.1,9_2,2_6,n,s,n
3164,4.72,1973.3,16.7,10_3,3_7,n,n,s
3165,4.64,1974.3,29.8,9_2,3_4,n,r,l
3166,4.66,1976,15.5,10_3,3_7,n,n,s
3167,5.04,1978.3,71.9,10_3,3_7,n,n,s
3168,4.78,1981.1,71,10_3,3_7,n,n,s
3170,4.44,1983.5,125.6,10_3,2_6,n,r,l
3171,4.8,1984,67,7_3,3_10,n,n,s
3172,4.77,1988.1,66.1,10_3,3_7,n,n,s
3173,4.65,1988.9,46.3,9_2,2_6,n,s,n
3174,4.72,1990.6,46.2,9_2,2_6,n,s,n
3175,4.92,1991.8,18.7,1_2,3_4,,,
3176,5.03,1992.6,16.6,1_2,3_4,,,
3177,4.93,1993.2,49,9_2,2_6,n,s,n
3178,4.74,1993.7,45.7,9_2,2_6,n,s,n
3179,4.33,1993.8,91.2,9_2,3_4,n,r,l
3180,4.77,1994.4,101.7,10_3,2_1,,,
3181,5.02,1994.9,15.6,1_2,3_4,,,
3182,4.66,1995,44.2,9_2,2_6,n,s,n
3183,4.88,1995,22.2,1_2,3_10,,,
3184,5.16,1995.3,57.9,7_3,3_10,n,n,s
3186,4.71,1996.3,88.4,9_2,3_4,n,r,l
3187,4.51,1997.2,44.2,9_2,2_6,n,s,n
3188,4.89,1997.3,19.7,1_2,3_4,,,
3189,6.23,1997.3,48.7,9_2,2_6,n,s,n
3190,6.16,1998.1,87.8,9_2,3_4,n,r,l
3191,4.8,1999.1,19.2,1_2,3_4,,,
3192,5.36,1999.6,101.3,4_3,2_6,n,r,s
3193,4.68,1999.8,43,9_2,2_6,n,s,n
3195,5.18,2000.7,43.4,9_2,2_6,n,s,n
3196,5.03,2001,106.9,7_3,2_6,n,r,r
3197,4.09,2001,48,9_2,2_6,n,s,n
3198,5.1,2001.5,18.8,1_2,3_4,,,
3199,4.82,2001.6,85.8,9_2,3_4,n,r,l
3200,5.02,2003.9,19.8,1_2,3_10,,,
3201,5.16,2003.9,42.5,9_2,2_6,n,s,n
3202,4.67,2004,40.6,9_2,2_6,n,s,n
3203,5.33,2004.1,50.8,7_3,3_4,n,n,l
3204,4.98,2004.8,46.6,9_2,2_6,n,s,n
3207,5.17,2006,20.2,1_2,3_10,,,
3208,4.99,2008.5,18.6,1_2,3_4,,,
3209,2.59,2008.5,14.5,1_2,2_6,,,
3210,5.64,2009.3,94.8,4_3,2_6,n,r,s
3211,3.48,2009.3,40.8,9_2,2_6,n,s,n
3212,4.87,2009.9,189.5,10_3,1_0,s,s,l
3214,4.61,2010.8,76.4,9_2,3_4,n,r,l
3215,5.15,2015,21.7,1_2,3_4,,,
3216,5.24,2015,42,7_3,3_10,n,n,s
3218,4.75,2016.9,17.6,1_2,3_4,,,
3219,4.24,2018.4,17.2,1_2,3_4,,,
3220,4.13,2020.1,8.7,1_2,2_6,,,
3221,4.79,2020.3,73.4,4_3,2_1,,,
3223,4.52,2022,7.2,1_2,2_6,,,
3224,4.66,2027.1,35.3,9_2,2_6,n,s,n
3225,4.08,2033.7,20.5,9_2,2_6,n,s,n
3226,3.65,2034.5,12.8,9_2,2_6,n,s,n
3228,5.05,2035.7,83.9,4_3,3_10,n,n,l
3229,5.11,2036.2,53.5,9_2,3_4,n,r,l
3230,4.79,2038.6,17.8,9_2,2_6,n,s,n
3231,4.61,2038.9,12.2,9_2,2_6,n,s,n
3232,4.51,2039,13.5,9_2,2_6,n,s,n
3233,5.04,2040.3,147.9,4_3,2_6,n,r,s
3234,4.88,2041.2,33.6,7_3,3_4,n,n,l
3235,4.54,2041.8,17.2,9_2,2_6,n,s,n
3236,4.56,2041.9,13.2,9_2,2_6,n,s,n
3237,4.59,2042.5,11.5,9_2,2_6,n,s,n
3238,4.96,2043.4,147.7,4_3,2_6,n,r,s
3239,4.42,2043.7,17.3,9_2,2_6,n,s,n
3240,4.96,2044.5,12.7,9_2,2_6,n,s,n
3241,4.11,2045.9,15,9_2,2_1,,,
3242,4.94,2046.3,12,9_2,2_6,n,s,n
3243,4.2,2047.2,12.2,10_3,3_7,n,n,s
3244,4.99,2048,159,4_3,1_0,s,s,s
3245,4.28,2048.1,12.2,9_2,2_6,n,s,n
3246,5.16,2049.7,10.9,7_3,3_10,n,n,s
3247,4.97,2049.9,41.7,9_2,3_4,n,r,l
3248,6.04,2050,48.4,4_3,2_1,,,
3249,4.51,2050.1,10.7,9_2,2_6,n,s,n
3250,5.21,2050.5,39.9,4_3,3_7,n,n,r
3251,5.99,2051.1,16.3,9_2,2_6,n,s,n
3252,5.27,2051.1,11.7,9_2,2_6,n,s,n
3254,4.73,2052.1,10.6,9_2,2_6,n,s,n
3255,4.99,2053.3,11.5,9_2,2_6,n,s,n
3256,4.48,2053.4,16.5,9_2,2_6,n,s,n
3257,5.25,2053.5,36.3,9_2,3_4,n,r,l
3258,4.81,2054.5,10.4,9_2,2_6,n,s,n
3259,4.86,2054.8,11.5,9_2,2_6,n,s,n
3260,4.81,2055.6,10.1,10_3,3_7,n,n,s
3261,5.92,2056.4,16.2,9_2,2_6,n,s,n
3262,5.08,2056.5,12.1,9_2,2_6,n,s,n
3263,4.98,2056.7,38,9_2,3_4,n,r,l
3264,5.19,2056.7,10.1,9_2,2_6,n,s,n
3265,5.28,2057,20,7_3,3_4,n,n,l
3266,4.73,2058.1,140.4,4_3,2_6,n,r,s
3267,5.08,2058.6,53.9,7_3,2_6,n,r,r
3268,4.72,2059.4,16.2,9_2,2_6,n,s,n
3269,4.85,2060,15.7,9_2,2_3,,,
3270,4.81,2060.5,129.9,10_3,3_2,,,
3271,4.84,2060.6,10.3,9_2,2_6,n,s,n
3272,5.2,2061.3,53.8,7_3,2_6,n,r,r
3273,4.77,2061.8,34.3,9_2,3_4,n,r,l
3274,4.66,2062.2,16.6,9_2,2_6,n,s,n
3275,4.87,2063.5,54.7,10_3,3_4,n,n,r
3276,4.78,2063.6,10.7,9_2,2_6,n,s,n
3277,5.34,2063.7,141,7_3,1_8,l,s,r
3278,5.31,2064.7,33.7,9_2,3_4,n,r,l
3279,4.91,2064.7,11.6,9_2,2_1,,,
3280,5,2066.1,56.9,10_3,3_4,n,n,r
3281,3.89,2066.9,11.2,9_2,2_6,n,s,n
3282,4.76,2066.9,15.2,9_2,2_6,n,s,n
3283,4.95,2068.5,93,7_3,3_4,n,n,l
3284,4.97,2068.7,15.1,9_2,2_3,,,
3285,4.77,2069.1,10.7,9_2,2_6,n,s,n
3286,4.82,2070.9,11,9_2,2_6,n,s,n
3287,4.75,2071.5,12.8,9_2,2_6,n,s,n
3288,5.19,2072.4,108.2,9_2,3_4,n,r,l
3289,4.95,2075.4,48.4,9_2,2_3,,,
3290,5.06,2075.9,15.8,2_3,3_4,,,
3291,12.73,2076.1,46.8,9_2,node2,,,
3292,6.55,2080.5,109.9,4_3,3_2,,,
3293,4.73,2081.1,54.5,10_3,3_7,n,n,s
3294,4.94,2082.9,18.3,1_2,3_4,,,
3295,4.64,2083,7.7,1_2,2_3,,,
3297,4.37,2083.9,32.7,1_2,2_6,,,
3298,5.12,2084.2,12.9,2_3,3_4,,,
3299,5.13,2084.3,53.2,9_2,2_6,n,s,n
3300,4.89,2085.5,104.9,4_3,3_2,,,
3301,4.97,2085.5,64.2,10_3,3_4,n,n,r
3302,5.06,2086,17.6,1_2,3_4,,,
3303,5.21,2088,102.4,4_3,3_2,,,
3304,5.21,2089.4,101,9_2,node3,,,
3305,13.72,2090.9,37.1,1_2,3_4,,,
3306,4.8,2090.9,10.2,2_3,3_4,,,
3307,5.03,2092.2,98.2,4_3,3_2,,,
3309,5.11,2096.9,15.6,1_2,3_4,,,
3310,5.02,2099.4,15.3,1_2,3_4,,,
3311,5.14,2099.4,77.9,9_2,1_0,s,l,n
3312,5.32,2100.5,48.5,7_3,3_10,n,n,s
3313,6.04,2101.4,37.8,9_2,2_6,n,s,n
3314,4.65,2103.6,26.5,9_2,2_6,n,s,n
3315,4.41,2103.7,55,10_3,3_4,n,n,r
3316,4.89,2103.9,77.2,9_2,3_4,n,r,l
3317,4.12,2104,59.7,7_3,3_4,n,n,l
3318,4.59,2104.6,37,9_2,2_6,n,s,n
3319,4.97,2104.9,90.6,4_3,1_0,s,s,s
3320,4.8,2105.2,27.3,9_2,2_6,n,s,n
3321,6.24,2105.5,45.9,7_3,3_10,n,n,s
3323,4.78,2106.7,36.8,9_2,2_6,n,s,n
3324,4.95,2107.3,27.3,9_2,2_6,n,s,n
3325,4.42,2107.8,11.8,1_2,2_6,,,
3326,4.37,2108.7,56.1,1_2,2_6,,,

3328,6.26,2108.7,33,5_1,1_8,s,n,n
3329,4.61,2108.7,20,5_1,1_8,s,n,n
3330,5.69,2108.7,28.7,5_1,1_8,s,n,n
3331,4.81,2108.7,21.9,5_1,1_8,s,n,n
3333,5.03,2108.7,25,5_1,1_8,s,n,n
3334,4.73,2108.7,19.6,5_1,1_8,s,n,n
3335,5.03,2108.7,23.5,5_1,1_8,s,n,n
3337,4.88,2108.7,72.1,5_1,2_3,,,

3342,5.42,2108.7,85.6,2_1,1_8,,,
3343,5.15,2108.8,92.6,7_3,1_0,s,s,r
3345,4.76,2110.4,26.4,9_2,2_6,n,s,n
3346,5.06,2110.5,91.6,4_3,1_8,l,s,s
3347,5.43,2110.9,11.9,4_3,3_7,n,n,r
3348,4.93,2111.1,79.3,5_1,3_4,l,s,s
3350,4.87,2113.7,25.8,9_2,2_6,n,s,n
3351,4.07,2113.7,65.9,9_2,1_0,s,l,n
3354,5.1,2119.7,79.3,2_1,1_8,,,
3355,11.7,2120.5,26.9,9_2,2_6,n,s,n
3356,5.02,2120.6,84,5_1,2_6,l,l,n
3357,5.33,2120.9,31.8,10_3,3_7,n,n,s
3358,13.55,2121,45.4,9_2,2_6,,,
3360,4.49,2122.7,19.5,9_2,2_6,n,s,n
3362,4.58,2123.8,12.6,5_1,1_8,s,n,n
3363,4.82,2124,55,2_3,3_4,,,
3364,4.79,2124.6,20.5,5_1,1_8,s,n,n
3365,5.08,2126.3,64.1,0_1,2_3,,,
3366,4.42,2126.3,17.3,9_2,2_6,n,s,n
3367,4.25,2126.3,12.5,5_1,1_8,s,n,n
3368,5.06,2126.4,64,5_1,2_3,,,
3369,4.6,2126.4,56.5,9_2,1_0,s,l,n
3370,4.81,2126.7,15.3,9_2,2_3,,,
3372,5.26,2126.9,63.5,4_3,3_2,,,
3375,4.28,2128.2,19.5,5_1,1_8,s,n,n
3378,4.95,2129.8,16.2,9_2,2_6,n,s,n
3380,5.45,2129.9,76.9,4_3,1_8,l,s,s
3382,4.41,2130.4,11.8,5_1,1_8,s,n,n
3383,4.65,2130.4,56,9_2,1_0,s,l,n
3384,5.15,2130.5,59.9,4_3,3_2,,,
3386,5.1,2132.4,49.5,0_1,1_8,r,n,n
3387,4.6,2132.5,12.8,5_1,1_8,s,n,n
3388,4.68,2132.7,22,9_2,2_6,n,s,n
3389,4.75,2132.7,16.8,9_2,2_6,n,s,n
3390,5.08,2132.9,57.5,5_1,2_3,,,
3392,4.45,2134,16.4,5_1,1_8,s,n,n
3393,5.16,2134.2,56.2,4_3,3_2,,,
3395,4.23,2134.9,11.7,5_1,1_8,s,n,n
3396,4.09,2135.1,17.5,9_2,2_6,n,s,n
3397,6.73,2136.8,53.6,4_3,node3,,,
3399,5.42,2137.1,131.7,4_3,1_0,s,s,s
3400,4.46,2137.2,16.8,5_1,1_0,r,n,n
3401,4.48,2137.3,44.9,5_1,2_3,,,
3403,4.61,2138,10.4,5_1,1_8,s,n,n
3404,5.1,2138.4,45.5,9_2,3_4,n,r,l
3405,4.54,2138.4,18.5,5_1,1_0,r,n,n
3406,4.39,2138.5,16.1,9_2,2_6,n,s,n
3407,5.02,2139.1,18.9,9_2,2_6,n,s,n
3409,4.4,2139.8,12.3,5_1,1_8,s,n,n
3411,5.08,2140.6,49.8,4_3,node3,,,
3412,4.06,2141,9.3,5_1,1_8,s,n,n
3414,4.75,2141.7,20.4,7_3,3_10,n,n,s
3415,5.02,2141.7,44.1,9_2,3_4,n,r,l
3416,4.93,2142.2,40.8,2_3,3_4,,,
3417,4.43,2142.6,11.9,5_1,1_8,s,n,n
3418,5.14,2142.6,47.8,4_3,3_2,,,
3421,4.8,2144.8,21.4,7_3,3_4,n,n,l
3422,6.01,2145.3,20.5,7_3,3_10,n,n,s
3423,5.38,2147.2,11.1,5_1,1_8,s,n,n
3424,5.07,2147.4,43,4_3,3_2,,,
3425,4.47,2147.7,16,9_2,2_6,n,s,n
3426,4.65,2148,9.6,5_1,1_8,s,n,n
3427,4.6,2148,20.2,7_3,3_10,n,n,s
3428,5.09,2148.4,42,5_1,2_3,,,
3429,4.58,2148.6,11,5_1,1_8,s,n,n
3431,5.07,2149.9,18.7,7_3,3_4,n,n,l
3432,4.16,2150.3,9.7,5_1,1_8,s,n,n
3433,4.48,2150.6,10.9,5_1,1_8,s,n,n
3435,5.17,2151,36.1,9_2,3_4,n,r,l
3436,4.8,2152.2,49.2,2_1,1_8,,,
3439,4.1,2152.5,10.8,5_1,1_8,s,n,n
3440,4.35,2152.8,9.4,5_1,1_8,s,n,n
3441,5.13,2152.8,115.9,5_1,2_3,,,
3444,5.1,2154.4,36,7_3,3_2,,,
3445,4.5,2154.6,13.6,9_2,2_6,n,s,n
3446,4.55,2154.9,14.9,9_2,2_6,n,s,n
3447,4.77,2155.6,115.4,5_1,2_3,,,
3443,5.14,2156.2,31.9,2_3,3_4,,,
3449,4.61,2156.3,13.2,9_2,2_6,n,s,n
3450,4.75,2156.6,62.5,5_1,1_8,s,n,n
3451,5.32,2156.8,32.4,9_2,3_4,n,r,l
3452,4.19,2157,14.3,9_2,2_6,n,s,n
3453,5.03,2157,61.3,5_1,1_8,s,n,n
3454,4.35,2157,15.3,9_2,2_6,n,s,n
3457,4.33,2158.6,12.4,9_2,2_6,n,s,n
3459,5.38,2159,30.8,9_2,3_4,n,r,l
3460,4.34,2159.4,60.8,5_1,1_8,s,n,n
3461,4.63,2159.4,86.6,5_1,1_8,s,n,n
3462,4.58,2159.9,62.2,5_1,1_8,s,n,n
3463,4.7,2159.9,14.9,9_2,2_6,n,s,n
3464,4.64,2160.3,13.3,9_2,2_6,n,s,n
3465,4.37,2160.5,31,9_2,2_3,,,
3467,4.7,2161.9,28.5,4_3,3_2,,,
3468,4.53,2162.3,61.8,5_1,1_8,s,n,n
3470,4.86,2162.4,40.7,9_2,2_3,,,
3472,4.16,2162.7,14.1,9_2,2_6,n,s,n
3473,4.48,2162.8,110.2,5_1,2_3,,,
3474,3.9,2163.2,60.5,9_2,2_6,n,s,n
3475,5,2163.9,58,9_2,2_6,n,s,n
3478,4.78,2165.1,48.5,9_2,2_3,,,
3479,4.21,2165.7,60,5_1,1_8,s,n,n
3480,4.68,2166.2,58.6,5_1,1_8,s,n,n
3481,4.63,2166.4,57.5,9_2,2_6,n,s,n
3482,4.6,2167.2,53,9_2,2_6,n,s,n
3485,5.18,2169.5,57,9_2,2_6,n,s,n
3488,4.79,2171.7,54.2,5_1,1_8,s,n,n
3491,4.26,2173,55.8,9_2,2_6,n,s,n
3494,2.92,2176.4,51.1,5_1,1_8,s,n,n
3500,5.09,2179.1,11.3,4_3,3_2,,,
3501,4.86,2179.3,28.2,0_1,2_6,s,l,n
3505,5.13,2181.1,9.3,2_3,3_4,,,
3507,4.56,2182.4,8,2_3,3_4,,,
3513,11.66,2190,59.4,9_2,2_6,n,s,n
3514,5.41,2190.3,11,3_2,2_6,,,
3515,4.97,2190.7,84.4,3_2,1_8,,,
3516,4.2,2193.2,11,3_2,2_6,,,
3517,4.77,2193.3,22.5,0_1,1_8,r,n,n
3518,4.54,2195.4,10.4,3_2,2_6,,,
3519,4.33,2198.5,11.7,3_2,2_6,,,
3521,4.95,2199.7,65.6,0_1,1_8,r,n,n
3522,5.12,2202.8,97,0_1,2_6,s,l,n
3524,5.1,2210.5,56.5,0_1,1_8,r,n,n
3527,3.97,2211.5,10.6,9_2,2_6,n,s,n
3528,3.81,2212.3,15,5_1,1_8,s,n,n
3531,4.95,2213.1,80.7,5_1,2_6,l,l,n
3532,4.17,2213.1,12.9,9_2,2_6,n,s,n
3534,4.62,2214.7,11.6,9_2,2_6,n,s,n
3537,4.77,2215.8,15.6,9_2,2_6,n,s,n
3538,4.93,2216.2,12,9_2,2_6,n,s,n
3539,4.32,2216.3,13.8,5_1,1_8,s,n,n
3540,4.37,2216.7,11.7,9_2,2_6,n,s,n
3542,4.79,2217.1,13.3,5_1,1_8,s,n,n
3543,4.45,2217.3,8.7,9_2,2_3,,,
3544,4.73,2218.1,49.1,5_1,2_3,,,
3545,5.03,2218.3,52.1,9_2,1_0,s,l,n
3547,4.24,2218.8,15.1,9_2,2_6,n,s,n
3549,4.46,2219.9,11.3,9_2,2_6,n,s,n
3550,4.66,2220.5,11.5,5_1,1_8,s,n,n
3551,4.63,2220.8,12.8,5_1,1_8,s,n,n
3552,4.36,2221.1,15.3,9_2,2_6,n,s,n
3553,4.53,2221.1,11.2,9_2,2_6,n,s,n
3557,5.04,2222.8,12.3,5_1,1_8,s,n,n
3558,4.4,2223.3,11.4,9_2,2_6,n,s,n
3560,4.16,2223.7,15.2,9_2,2_6,n,s,n
3561,4.21,2223.8,11.3,5_1,1_8,s,n,n
3562,6.03,2224,10.9,9_2,2_6,n,s,n
3565,3.75,2224.5,54.4,2_1,1_8,,,
3566,4.69,2225.3,11.3,5_1,1_8,s,n,n
3567,4.56,2225.5,15.1,9_2,2_6,n,s,n
3568,4.35,2226.2,10.9,9_2,2_6,n,s,n
3569,4.86,2226.7,10.8,9_2,2_6,n,s,n
3571,5.42,2227,11.6,5_1,1_8,s,n,n
3572,4.89,2228.3,15.5,9_2,2_6,n,s,n
3573,4.47,2228.6,44.9,9_2,1_0,s,l,n
3575,4.37,2228.7,11.2,5_1,1_8,s,n,n
3577,12.55,2229.9,35.4,9_2,2_6,n,s,n
3579,5.05,2230.4,10.5,5_1,1_8,s,n,n
3581,4.76,2231.1,44.8,9_2,1_0,s,l,n
3582,5.22,2231.3,10.6,9_2,2_6,n,s,n
3584,4.41,2232.1,12.5,5_1,1_0,r,n,n
3585,5.02,2233.5,18.9,9_2,2_6,n,s,n
3586,4.45,2233.8,9.7,5_1,1_8,s,n,n
3587,4.89,2233.8,46.1,9_2,1_0,s,l,n
3588,5.51,2234.1,10.5,9_2,2_6,n,s,n
3592,4.21,2235.6,9.5,5_1,1_8,s,n,n
3594,4.42,2237.7,12.3,5_1,1_0,r,n,n
3596,6.81,2238.9,9.9,9_2,2_6,n,s,n
3597,4.9,2240.1,9,5_1,1_8,s,n,n
3598,4.84,2240.1,55.9,5_1,2_6,l,l,n
3599,5.75,2240.9,10.4,5_1,1_8,s,n,n
3601,4.14,2241.6,10.3,9_2,2_6,n,s,n
3602,4.69,2243.2,114.7,5_1,node2,,,
3603,4.27,2243.3,10,5_1,1_8,s,n,n
3604,4.5,2244.9,9.6,5_1,1_8,s,n,n
3605,4.72,2245,10.1,5_1,1_0,r,n,n
3606,4.94,2245,38.7,9_2,1_0,s,l,n
3607,2.27,2245.1,26.1,3_2,2_6,,,
3609,5.78,2247.8,112.9,5_1,node2,,,
3610,5.11,2248.3,60.9,5_1,1_8,s,n,n
3611,4.96,2249.2,20.8,0_1,1_8,r,n,n
3612,4.53,2250.5,112.2,5_1,2_3,,,
3613,4.57,2250.6,60.5,5_1,1_8,s,n,n
3614,4.79,2251.9,20.1,0_1,1_8,r,n,n
