time_period,avg_travel_time_I1,avg_travel_time_I2,avg_travel_time_I3,avg_fuel_I1,avg_fuel_I2,avg_fuel_I3
0,0.0,5.754854368932039,0.0,0.0,7.036779737482989e-05,0.0
1,0.0,6.749687108886108,0.0,0.0,0.00010397680181539047,0.0
2,0.0,3.853080568720379,0.0,0.0,5.25375255166326e-05,0.0
3,0.0,7.207191780821918,0.0,0.0,0.0,0.0
